Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description
The Marked Heart: Season 1 // Pálpito: Temporada 1,Yes,2022-04-20,133500000,120.0,5.9,"['Crime', 'Drama']","british noir,b movie,forgery plates,kidnapping a girl,rape and sexual intercourse innuendo",Villain&apos;s kidnap a man&apos;s daughter in order to get hold of forgery plates which they believe to be in his possession.
Bridgerton: Season 2,Yes,2022-03-25,133400000,,,,,
Little Angel: Volume 1,Yes,,132100000,,,['Short'],,"There are so many letters from A-Z! With help from their angelic pals, Alex and Zoe learn about the alphabet."
PAW Patrol: Season 5,No,,130700000,,,,,
Pasión de Gavilanes: Season 1,No,,129200000,1544.0,6.1,"['Animation', 'Short', 'Adventure']","controversy,girl,laundry drying on a clothesline,african american,clothesline",
Suits (2011): Season 1,Yes,,129100000,,,['Sport'],"year in title,2010s,2000s,2020s,number in title",A review of Arsenal&apos;s 2011/2012 football season.
Sex/Life: Season 1,Yes,2021-06-25,126400000,,,,,
We Have a Ghost,Yes,2023-02-24,124400000,31282.0,6.1,"['Adventure', 'Comedy', 'Drama']","ghost,house,chase,car chase,based on short story","Finding a ghost named Ernest haunting their new home turns Kevin&apos;s family into overnight social media sensations. But when Kevin and Ernest investigate the mystery of Ernest&apos;s past, they become a target of the CIA."
You: Season 1,Yes,2018-12-26,123500000,23.0,8.3,['Short'],,
Business Proposal: Season 1 // 사내맞선: 시즌 1,Yes,2022-02-28,120700000,382.0,7.1,"['Documentary', 'Short']","year 1943,1940s,20th century,actor,war bond",
The Pale Blue Eye,Yes,2023-01-06,120500000,118352.0,6.6,"['Crime', 'Horror', 'Mystery']","murder,year 1830,1830s,19th century,winter","A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets&apos; code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar All..."
Crash Landing on You: Season 1 // 사랑의 불시착: 시즌 1,Yes,2019-12-14,120300000,14.0,5.9,['Short'],"sparring partner,balloon,professional wrestling,training camp,tent","Joe Palooka and Strangler Chokeovitch have set up training camps on adjacent beachfront sites. When Joe knocks out the Strangler after a misunderstanding, Chokeovitch&apos;s manager challenges the champ to a professional wrestling bout..."
AKA,Yes,2023-04-28,120000000,,,,,
MH370: The Plane That Disappeared: Limited Series,Yes,2023-03-08,118900000,13216.0,6.1,['Documentary'],"year 2014,malaysia airlines flight mh370,airplane,investigation,missing",
Queenmaker: Season 1 // 퀸메이커: 시즌 1,Yes,2023-04-14,118600000,,,,,
Vikings: Valhalla: Season 1,Yes,2022-02-25,116500000,6.0,8.6,['Sport'],,
Breaking Bad: Season 2,No,,116200000,,,,,
Muted: Limited Series // El silencio: Miniserie,Yes,2023-05-19,115800000,,,,,
Lockwood & Co.: Season 1,Yes,2023-01-27,113600000,7.0,9.0,"['Short', 'Drama']",,"After a lonely old man is given an opportunity to prove that he can be a responsible grandparent, he struggles to protect his grandson from his ruthless neighbours."
You: Season 3,Yes,2021-10-15,107200000,262.0,5.4,"['Family', 'Musical', 'Animation']","junk man,junk,junk wagon,city dump,landfill",A mannequin in the city dump improvises a piano from the junk to play and sing the title song The various animals and pieces of junk all join in.
Breaking Bad: Season 5,No,,107000000,681.0,8.3,['Documentary'],"behind the scenes,making of,reference to breaking bad","An extensive, detailed account on the incredible legacy Breaking Bad created before it had even ended, whilst documenting in intimate detail the filming of its final season."
